# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u compare.py
====================================================================================================
BASELINE vs LSTM vs DQN comparison
trace: C:\Users\Nima\PointCloudStreaming\bandwidth_5g\static_B_2020.01.16_10.43.34.csv | frames: all
====================================================================================================
--- DASH-PC Point Cloud Streaming Simulation ---

[Session] User via edge-1 - Buffer: 5.0s capacity, 1.0s min, 30.0 FPS target
====================================================================================================
[User] Frame  80: ✅ Rep 5 (density=15354, size= 3860) | DL=0.08s | BW=155.3Mbps | Buffer: 🟡 0.83s (low) ⏸️ REBUFFERING...
[User] Frame  81: ✅ Rep 5 (density=15510, size= 3867) | DL=0.06s | BW=155.3Mbps | Buffer: 🟡 0.87s (low) ⏸️ REBUFFERING...
[User] Frame  82: ✅ Rep 5 (density=15741, size= 3941) | DL=0.07s | BW=155.3Mbps | Buffer: 🟡 0.90s (low) ⏸️ REBUFFERING...
[User] Frame  83: ✅ Rep 5 (density=16006, size= 3998) | DL=0.07s | BW=155.3Mbps | Buffer: 🟡 0.93s (low) ⏸️ REBUFFERING...
[User] Frame  84: ✅ Rep 5 (density=16140, size= 4008) | DL=0.07s | BW=155.3Mbps | Buffer: 🟡 0.97s (low) ⏸️ REBUFFERING...
[User] Frame  85: ✅ Rep 5 (density=16181, size= 4026) | DL=0.07s | BW=165.4Mbps | Buffer: 🟡 1.00s (low) ⏸️ REBUFFERING...
[User] Frame  86: ✅ Rep 5 (density=16281, size= 4036) | DL=0.08s | BW=165.4Mbps | Buffer: 🟡 1.03s (low) ▶️ RESUMED (rebuffer=2.18s)
[User] Frame  87: ✅ Rep 5 (density=16333, size= 4056) | DL=0.08s | BW=165.4Mbps | Buffer: 🟡 0.99s (low) ▶️ PLAYING
[User] Frame  88: ✅ Rep 5 (density=16367, size= 4130) | DL=0.08s | BW=165.4Mbps | Buffer: 🟡 0.95s (low) ▶️ PLAYING
[User] Frame  89: ✅ Rep 5 (density=16489, size= 4117) | DL=0.07s | BW=165.4Mbps | Buffer: 🟡 0.91s (low) ▶️ PLAYING
[User] Frame  90: ✅ Rep 5 (density=16490, size= 4109) | DL=0.07s | BW=165.4Mbps | Buffer: 🟡 0.87s (low) ▶️ PLAYING
[User] Frame  91: ✅ Rep 5 (density=16459, size= 4102) | DL=0.07s | BW=165.4Mbps | Buffer: 🟡 0.83s (low) ▶️ PLAYING
[User] Frame  92: ✅ Rep 5 (density=16326, size= 4083) | DL=0.07s | BW=165.4Mbps | Buffer: 🟡 0.80s (low) ▶️ PLAYING
[User] Frame  93: ✅ Rep 5 (density=16335, size= 4085) | DL=0.08s | BW=165.4Mbps | Buffer: 🟡 0.75s (low) ▶️ PLAYING
[User] Frame  94: ✅ Rep 5 (density=16387, size= 4154) | DL=0.07s | BW=165.4Mbps | Buffer: 🟡 0.72s (low) ▶️ PLAYING
[User] Frame  95: ✅ Rep 5 (density=16320, size= 4098) | DL=0.07s | BW=165.4Mbps | Buffer: 🟡 0.68s (low) ▶️ PLAYING
[User] Frame  96: ✅ Rep 5 (density=16230, size= 4124) | DL=0.07s | BW=165.4Mbps | Buffer: 🟡 0.65s (low) ▶️ PLAYING
[User] Frame  97: ✅ Rep 5 (density=16164, size= 4101) | DL=0.07s | BW=165.4Mbps | Buffer: 🟡 0.61s (low) ▶️ PLAYING
[User] Frame  98: ✅ Rep 5 (density=16103, size= 4076) | DL=0.08s | BW=165.4Mbps | Buffer: 🟡 0.57s (low) ▶️ PLAYING
[User] Frame  99: ✅ Rep 5 (density=15750, size= 4028) | DL=0.07s | BW=151.8Mbps | Buffer: 🟡 0.54s (low) ▶️ PLAYING
[User] Frame 100: ✅ Rep 5 (density=15646, size= 4023) | DL=0.07s | BW=151.8Mbps | Buffer: 🔴 0.50s (critical) ▶️ PLAYING
[User] Frame 101: ✅ Rep 5 (density=15644, size= 4097) | DL=0.08s | BW=151.8Mbps | Buffer: 🔴 0.45s (critical) ▶️ PLAYING
[User] Frame 102: ✅ Rep 5 (density=15644, size= 4078) | DL=0.08s | BW=151.8Mbps | Buffer: 🔴 0.41s (critical) ▶️ PLAYING
[User] Frame 103: ✅ Rep 5 (density=15569, size= 4022) | DL=0.08s | BW=151.8Mbps | Buffer: 🔴 0.37s (critical) ▶️ PLAYING
[User] Frame 104: ✅ Rep 5 (density=15520, size= 4043) | DL=0.08s | BW=151.8Mbps | Buffer: 🔴 0.32s (critical) ▶️ PLAYING
[User] Frame 105: ✅ Rep 5 (density=15356, size= 4001) | DL=0.07s | BW=151.8Mbps | Buffer: 🔴 0.29s (critical) ▶️ PLAYING
[User] Frame 106: ✅ Rep 5 (density=15252, size= 3952) | DL=0.08s | BW=151.8Mbps | Buffer: 🔴 0.25s (critical) ▶️ PLAYING
[User] Frame 107: ✅ Rep 5 (density=15295, size= 3999) | DL=0.07s | BW=151.8Mbps | Buffer: 🔴 0.21s (critical) ▶️ PLAYING
[User] Frame 108: ✅ Rep 5 (density=15304, size= 3945) | DL=0.07s | BW=151.8Mbps | Buffer: 🔴 0.18s (critical) ▶️ PLAYING
[User] Frame 109: ✅ Rep 5 (density=15274, size= 3957) | DL=0.07s | BW=151.8Mbps | Buffer: 🔴 0.15s (critical) ▶️ PLAYING
[User] Frame 110: ✅ Rep 5 (density=15035, size= 3922) | DL=0.08s | BW=151.8Mbps | Buffer: 🔴 0.10s (critical) ▶️ PLAYING
[User] Frame 111: ✅ Rep 5 (density=15086, size= 3906) | DL=0.07s | BW=151.8Mbps | Buffer: 🔴 0.06s (critical) ▶️ PLAYING
[User] Frame 112: ✅ Rep 5 (density=15185, size= 3898) | DL=0.07s | BW=151.8Mbps | Buffer: 🔴 0.03s (critical) ⏸️ REBUFFERING...
[User] Frame 113: ✅ Rep 5 (density=15043, size= 3898) | DL=1.05s | BW=0.0Mbps | Buffer: 🔴 0.07s (critical) ⏸️ REBUFFERING...
