# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_002_s43\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_002_s43 --coverage-stride 60 --epochs 8 --eval-every 100 --eval-seeds 42,43,44 --lam 1.0 --lr 0.0001 --mu 2.0 --playback-rate-min 0.9 --reward-spec {"stall_mode": "bounded", "stall_cap_s": 2.0, "event_penalty": 2.0} --seed 43 --segment-frames 8 --select-by qoe_quality --target-update 3000
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | eval sequence: longdress
   train files: 4 | test files: 1 | frames/episode: 300
   coverage stride: 60 samples -> 237 episodes/epoch x 8 epochs = 1896 episodes (~72048 env steps)
   segment: 8 frames/request (38 decisions/episode) | playback-rate-min: 0.9 | eval seeds: [42, 43, 44]
   state_dim: 23 | actions: 6 | feature_spec: ['lstm_pred', 'buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   reward: q[log_density] - 2.0*min(stall,2.0) + 2.0*new_event - 1.0*|dq|  (gamma=0.99, lr=0.0001, reward_norm=True, reward_scale=1.0)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_002_s43\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_002_s43
==========================================================================================
[eval @ ep 0] untrained: reward=76.67 qoe=25.6 qoe_q=-22.3
[ep  128] soldier      static_B_2020.02.13_13.57.29.csv@2914  reward=  190.89 qoe=  82.7 qoe_q=   50.1 eps=0.893 loss=0.1310
[ep  129] longdress    static_B_2020.01.16_10.43.34.csv@2193  reward=  171.41 qoe=   0.0 qoe_q=   -8.9 eps=0.892 loss=0.1400
[ep  130] loot         static_B_2020.02.27_18.39.27.csv@2444  reward=  162.07 qoe=   0.0 qoe_q=   42.2 eps=0.891 loss=0.1607
[ep  131] redandblack  static_B_2020.02.13_13.57.29.csv@2854  reward=  123.45 qoe=   2.9 qoe_q=    1.3 eps=0.891 loss=0.1415
[ep  132] soldier      static_B_2019.12.16_13.40.04.csv@1166  reward=  152.22 qoe=   0.0 qoe_q=  -78.0 eps=0.890 loss=0.1411
[ep  133] longdress    static_B_2020.02.27_18.39.27.csv@3644  reward=  186.19 qoe=  24.0 qoe_q=   54.0 eps=0.889 loss=0.1370
[ep  134] loot         static_B_2019.12.16_13.40.04.csv@986   reward=  228.51 qoe= 100.0 qoe_q=   70.1 eps=0.888 loss=0.1360
[ep  135] redandblack  static_B_2020.01.16_10.43.34.csv@2493  reward=  183.14 qoe=   8.0 qoe_q=   53.0 eps=0.887 loss=0.1215
[ep  136] soldier      static_B_2019.12.16_13.40.04.csv@86    reward=  224.51 qoe=  22.0 qoe_q=   68.2 eps=0.886 loss=0.1346
[ep  137] longdress    static_B_2020.02.27_18.39.27.csv@5742  reward=  175.60 qoe=  54.0 qoe_q=   49.1 eps=0.886 loss=0.1179
[ep  138] loot         static_B_2020.01.16_10.43.34.csv@153   reward=  158.98 qoe=  66.8 qoe_q=   26.7 eps=0.885 loss=0.1409
[ep  139] redandblack  static_B_2019.12.16_13.40.04.csv@1886  reward=  195.84 qoe=   0.0 qoe_q=   55.4 eps=0.884 loss=0.1497
[ep  140] soldier      static_B_2020.02.27_18.39.27.csv@3044  reward=  179.93 qoe=  50.6 qoe_q=   25.6 eps=0.883 loss=0.1383
[ep  141] longdress    static_B_2020.02.27_18.39.27.csv@2684  reward=  177.38 qoe=  37.8 qoe_q=   30.8 eps=0.882 loss=0.1276
[ep  142] loot         static_B_2020.02.13_13.57.29.csv@1354  reward=  159.79 qoe=  82.7 qoe_q=   37.9 eps=0.881 loss=0.1222
[ep  143] redandblack  static_B_2019.12.16_13.40.04.csv@926   reward=  139.19 qoe=  14.4 qoe_q=    4.6 eps=0.881 loss=0.1320
[ep  144] soldier      static_B_2020.02.27_18.39.27.csv@4064  reward=  175.12 qoe= 100.0 qoe_q=   47.1 eps=0.880 loss=0.1156
[ep  145] longdress    static_B_2020.02.27_18.39.27.csv@524   reward=  152.20 qoe=  52.2 qoe_q=   18.5 eps=0.879 loss=0.1316
[ep  146] loot         static_B_2020.01.16_10.43.34.csv@3109  reward=  203.23 qoe=  94.0 qoe_q=   61.1 eps=0.878 loss=0.1322
[ep  147] redandblack  static_B_2020.02.13_13.57.29.csv@274   reward=  171.70 qoe=   3.6 qoe_q=   19.3 eps=0.877 loss=0.1232
[ep  148] soldier      static_B_2020.02.27_18.39.27.csv@3944  reward=  172.63 qoe=  68.0 qoe_q=   47.3 eps=0.876 loss=0.1399
[ep  149] longdress    static_B_2020.02.27_18.39.27.csv@4604  reward=  162.41 qoe=  24.2 qoe_q=   12.4 eps=0.876 loss=0.1418
