[ep   80] soldier      driving_B_2020.01.16_07.26.43.csv@1291  reward=QoE=   29.19 eps=0.879 loss=2.0777
[ep   81] longdress    driving_B_2020.02.13_15.02.01.csv@2661  reward=QoE= -124.64 eps=0.877 loss=1.8821
[ep   82] loot         driving_B_2020.01.16_07.26.43.csv@1471  reward=QoE=  -71.01 eps=0.875 loss=1.9558
[ep   83] redandblack  driving_B_2020.02.13_13.03.24.csv@259   reward=QoE=  -40.50 eps=0.874 loss=2.2527
[ep   84] soldier      driving_B_2020.02.14_09.38.22.csv@1381  reward=QoE= -107.30 eps=0.872 loss=2.2794
[ep   85] longdress    driving_B_2020.02.14_09.38.22.csv@721   reward=QoE=   43.55 eps=0.871 loss=2.1119
[ep   86] loot         static_B_2020.02.27_18.39.27.csv@1998  reward=QoE=   34.54 eps=0.869 loss=2.2307
[ep   87] redandblack  static_B_2020.02.27_18.39.27.csv@5538  reward=QoE=   43.96 eps=0.868 loss=2.2154
[ep   88] soldier      driving_B_2019.12.17_07.32.39.csv@1586  reward=QoE=  -10.13 eps=0.866 loss=2.2374
[ep   89] longdress    driving_B_2020.02.13_15.02.01.csv@1401  reward=QoE=  -90.02 eps=0.865 loss=1.9625
[ep   90] loot         static_B_2020.02.14_13.21.26.csv@427   reward=QoE=   42.51 eps=0.863 loss=2.0561
[ep   91] redandblack  static_B_2020.02.27_18.39.27.csv@5118  reward=QoE=   15.05 eps=0.862 loss=1.9332
[ep   92] soldier      driving_B_2020.01.16_09.56.56.csv@496   reward=QoE=   48.42 eps=0.860 loss=1.9724
[ep   93] longdress    driving_B_2019.12.17_07.32.39.csv@866   reward=QoE=  -28.91 eps=0.859 loss=1.8672
[ep   94] loot         driving_B_2020.02.13_13.03.24.csv@799   reward=QoE=  -53.26 eps=0.857 loss=1.7936
[ep   95] redandblack  driving_B_2019.12.17_07.32.39.csv@1766  reward=QoE=  -36.68 eps=0.856 loss=1.8513
[ep   96] soldier      driving_B_2020.02.27_17.30.15.csv@270   reward=QoE= -383.09 eps=0.854 loss=2.1168
[ep   97] longdress    driving_B_2019.12.16_12.27.05.csv@797   reward=QoE=  -25.57 eps=0.853 loss=1.9601
[ep   98] loot         driving_B_2020.01.16_09.56.56.csv@1516  reward=QoE=   41.18 eps=0.851 loss=1.9042
[ep   99] redandblack  static_B_2020.02.27_18.39.27.csv@2718  reward=QoE=   40.47 eps=0.850 loss=1.8972
[ep  100] soldier      static_B_2020.02.27_18.39.27.csv@4278  reward=QoE=   47.54 eps=0.848 loss=2.0273
[ep  101] longdress    driving_B_2019.12.17_07.32.39.csv@2006  reward=QoE=   17.44 eps=0.847 loss=1.9003
[ep  102] loot         driving_B_2020.01.16_09.56.56.csv@1276  reward=QoE=   39.80 eps=0.845 loss=2.0415
[ep  103] redandblack  static_B_2019.12.16_13.40.04.csv@1200  reward=QoE=   -5.02 eps=0.844 loss=2.0532
[ep  104] soldier      driving_B_2020.01.16_07.26.43.csv@811   reward=QoE=    6.67 eps=0.842 loss=1.7040
[ep  105] longdress    driving_B_2020.02.13_15.02.01.csv@1101  reward=QoE=   30.89 eps=0.841 loss=1.9311
[ep  106] loot         driving_B_2019.12.17_07.32.39.csv@86    reward=QoE=  -14.10 eps=0.839 loss=1.9291
[ep  107] redandblack  driving_B_2020.01.16_07.26.43.csv@991   reward=QoE=   -2.44 eps=0.838 loss=1.9744
[ep  108] soldier      static_B_2020.02.27_18.39.27.csv@5298  reward=QoE=   38.12 eps=0.836 loss=1.9038
[ep  109] longdress    driving_B_2020.01.16_09.56.56.csv@196   reward=QoE=   24.39 eps=0.834 loss=1.9308
[ep  110] loot         driving_B_2020.02.14_12.58.17.csv@184   reward=QoE= -574.34 eps=0.833 loss=1.8742
[ep  111] redandblack  driving_B_2020.01.16_07.26.43.csv@331   reward=QoE= -101.61 eps=0.831 loss=1.7888
[ep  112] soldier      driving_B_2020.01.16_07.26.43.csv@1231  reward=QoE=  -74.10 eps=0.830 loss=2.0230
[ep  113] longdress    driving_B_2020.01.16_09.56.56.csv@616   reward=QoE=   32.77 eps=0.828 loss=1.8708
[ep  114] loot         driving_B_2020.02.13_13.03.24.csv@319   reward=QoE=    8.12 eps=0.827 loss=1.8373
[ep  115] redandblack  static_B_2020.02.27_18.39.27.csv@858   reward=QoE=   42.88 eps=0.825 loss=2.0389
[ep  116] soldier      static_B_2020.02.27_18.39.27.csv@558   reward=QoE=  -33.76 eps=0.824 loss=2.0216
[ep  117] longdress    static_B_2020.02.27_18.39.27.csv@4878  reward=QoE= -107.17 eps=0.822 loss=1.7748
[ep  118] loot         driving_B_2020.02.13_15.02.01.csv@2241  reward=QoE=   33.48 eps=0.821 loss=1.8055
[ep  119] redandblack  driving_B_2020.02.13_15.02.01.csv@621   reward=QoE=  -84.59 eps=0.819 loss=1.7198
[ep  120] soldier      driving_B_2020.02.13_15.02.01.csv@681   reward=QoE=    4.81 eps=0.818 loss=1.7618
[ep  121] longdress    static_B_2020.02.27_18.39.27.csv@918   reward=QoE=   50.17 eps=0.816 loss=1.8662
[ep  122] loot         driving_B_2020.01.16_12.10.03.csv@5     reward=QoE=   23.60 eps=0.815 loss=2.1083
[ep  123] redandblack  static_B_2020.02.27_18.39.27.csv@1938  reward=QoE=   41.25 eps=0.813 loss=2.0549
[ep  124] soldier      static_B_2019.12.16_13.40.04.csv@1380  reward=QoE= -109.28 eps=0.812 loss=1.8581
[ep  125] longdress    driving_B_2020.02.14_09.38.22.csv@301   reward=QoE= -242.33 eps=0.810 loss=1.9687
[ep  126] loot         driving_B_2020.02.27_17.30.15.csv@390   reward=QoE= -292.14 eps=0.809 loss=1.9760
[ep  127] redandblack  driving_B_2020.02.13_15.02.01.csv@21    reward=QoE=   41.42 eps=0.807 loss=2.0541
[ep  128] soldier      static_B_2020.02.27_18.39.27.csv@738   reward=QoE=   18.39 eps=0.806 loss=1.9666
[ep  129] longdress    driving_B_2020.02.14_09.38.22.csv@121   reward=QoE= -227.07 eps=0.804 loss=2.0065
[ep  130] loot         static_B_2020.02.27_18.39.27.csv@4458  reward=QoE=   23.79 eps=0.803 loss=1.9991
[ep  131] redandblack  driving_B_2020.01.16_09.56.56.csv@1216  reward=QoE=   29.48 eps=0.801 loss=1.9020
[ep  132] soldier      static_B_2020.02.27_18.39.27.csv@2478  reward=QoE=   45.84 eps=0.800 loss=1.9464
[ep  133] longdress    static_B_2020.02.27_18.39.27.csv@4158  reward=QoE=   29.30 eps=0.798 loss=1.8009
[ep  134] loot         driving_B_2019.12.17_07.32.39.csv@326   reward=QoE=   18.78 eps=0.797 loss=1.9207
[ep  135] redandblack  driving_B_2019.12.16_12.27.05.csv@557   reward=QoE=  -77.77 eps=0.795 loss=1.8113
[ep  136] soldier      driving_B_2020.01.16_07.26.43.csv@1770  reward=QoE= -292.13 eps=0.793 loss=1.8974
[ep  137] longdress    static_B_2020.02.27_18.39.27.csv@678   reward=QoE=   28.87 eps=0.792 loss=1.9503
[ep  138] loot         driving_B_2020.01.16_07.26.43.csv@271   reward=QoE=   29.15 eps=0.790 loss=1.8847
[ep  139] redandblack  static_B_2020.02.27_18.39.27.csv@3978  reward=QoE=   49.60 eps=0.789 loss=1.8215
[ep  140] soldier      driving_B_2020.01.16_09.56.56.csv@436   reward=QoE= -134.82 eps=0.787 loss=1.7471
[ep  141] longdress    static_B_2020.02.27_18.39.27.csv@3078  reward=QoE=  -10.80 eps=0.786 loss=1.8607
[ep  142] loot         driving_B_2020.02.13_13.03.24.csv@1159  reward=QoE=  -33.43 eps=0.784 loss=1.9344
[ep  143] redandblack  driving_B_2019.12.17_07.32.39.csv@1106  reward=QoE=   30.35 eps=0.783 loss=1.9632
[ep  144] soldier      driving_B_2020.01.16_12.10.03.csv@244   reward=QoE=   49.63 eps=0.781 loss=1.9329
[ep  145] longdress    driving_B_2020.02.13_13.03.24.csv@1339  reward=QoE=  -63.97 eps=0.780 loss=1.9044
[ep  146] loot         static_B_2020.02.27_18.39.27.csv@2958  reward=QoE=   37.19 eps=0.778 loss=1.7709
[ep  147] redandblack  driving_B_2020.02.13_15.02.01.csv@921   reward=QoE=   34.03 eps=0.777 loss=1.9803
[ep  148] soldier      static_B_2019.12.16_13.40.04.csv@900   reward=QoE=   27.35 eps=0.775 loss=1.9497
