[ep  133] longdress    driving_B_2019.12.17_07.32.39.csv@1458  reward=QoE= -105.45 eps=0.924 loss=1.1265
[ep  134] loot         driving_B_2020.02.13_13.03.24.csv@2009  reward=QoE= -135.14 eps=0.924 loss=1.0942
[ep  135] redandblack  driving_B_2020.02.13_15.02.01.csv@2363  reward=QoE= -384.20 eps=0.923 loss=1.0963
[ep  136] soldier      driving_B_2020.02.13_15.02.01.csv@1343  reward=QoE= -224.67 eps=0.923 loss=1.1308
[ep  137] longdress    driving_B_2019.12.17_07.32.39.csv@738   reward=QoE=  -59.33 eps=0.922 loss=1.1250
[ep  138] loot         driving_B_2020.02.13_13.03.24.csv@1049  reward=QoE=  -72.76 eps=0.921 loss=1.1380
[ep  139] redandblack  driving_B_2020.02.13_13.03.24.csv@1169  reward=QoE=  -55.60 eps=0.921 loss=1.0947
[ep  140] soldier      static_B_2019.12.16_13.40.04.csv@246   reward=QoE=   28.21 eps=0.920 loss=1.0267
[ep  141] longdress    static_B_2020.02.27_18.39.27.csv@3458  reward=QoE=   46.15 eps=0.920 loss=1.2086
[ep  142] loot         static_B_2020.02.27_18.39.27.csv@158   reward=QoE=   33.11 eps=0.919 loss=1.1176
[ep  143] redandblack  driving_B_2020.01.16_07.26.43.csv@44    reward=QoE=  -24.08 eps=0.919 loss=1.0640
[ep  144] soldier      static_B_2020.02.27_18.39.27.csv@1658  reward=QoE=   35.24 eps=0.918 loss=1.0536
[ep  145] longdress    driving_B_2020.01.16_07.26.43.csv@1004  reward=QoE=  -68.81 eps=0.917 loss=0.9181
[ep  146] loot         static_B_2020.02.27_18.39.27.csv@638   reward=QoE=   39.32 eps=0.917 loss=1.1210
[ep  147] redandblack  driving_B_2019.12.17_07.32.39.csv@1518  reward=QoE=  -62.49 eps=0.916 loss=1.2118
[ep  148] soldier      static_B_2020.02.27_18.39.27.csv@2678  reward=QoE=   -7.94 eps=0.916 loss=0.9475
[ep  149] longdress    driving_B_2020.02.14_09.38.22.csv@1422  reward=QoE=  -80.91 eps=0.915 loss=1.0588
[ep  150] loot         static_B_2020.02.27_18.39.27.csv@398   reward=QoE=   44.98 eps=0.915 loss=0.9645
[ep  151] redandblack  static_B_2020.02.27_18.39.27.csv@4658  reward=QoE= -299.78 eps=0.914 loss=0.8933
[ep  152] soldier      driving_B_2020.01.16_07.26.43.csv@1364  reward=QoE= -144.38 eps=0.913 loss=1.1226
[ep  153] longdress    driving_B_2020.01.16_09.56.56.csv@1308  reward=QoE=   41.24 eps=0.913 loss=0.8780
[ep  154] loot         static_B_2020.02.27_18.39.27.csv@2078  reward=QoE=   27.03 eps=0.912 loss=0.9907
[ep  155] redandblack  static_B_2020.02.27_18.39.27.csv@2138  reward=QoE=   33.25 eps=0.912 loss=1.0433
[ep  156] soldier      static_B_2020.02.27_18.39.27.csv@4178  reward=QoE=   34.36 eps=0.911 loss=1.0398
[ep  157] longdress    static_B_2020.02.27_18.39.27.csv@2498  reward=QoE=   38.65 eps=0.911 loss=0.9210
[ep  158] loot         static_B_2019.12.16_13.40.04.csv@1326  reward=QoE=   24.95 eps=0.910 loss=0.8546
[ep  159] redandblack  static_B_2020.02.27_18.39.27.csv@4718  reward=QoE=   18.57 eps=0.909 loss=0.9146
[ep  160] soldier      driving_B_2020.02.14_12.58.17.csv@524   reward=QoE= -132.80 eps=0.909 loss=0.7920
[ep  161] longdress    driving_B_2019.12.17_07.32.39.csv@858   reward=QoE= -107.54 eps=0.908 loss=1.0977
[ep  162] loot         static_B_2020.02.14_13.21.26.csv@629   reward=QoE=   40.92 eps=0.908 loss=0.9628
[ep  163] redandblack  static_B_2020.02.14_13.21.26.csv@449   reward=QoE=   31.54 eps=0.907 loss=0.8901
[ep  164] soldier      static_B_2020.02.27_18.39.27.csv@278   reward=QoE=   38.82 eps=0.907 loss=0.8933
[ep  165] longdress    driving_B_2020.01.16_09.56.56.csv@1488  reward=QoE=   21.61 eps=0.906 loss=0.9107
[ep  166] loot         driving_B_2020.01.16_07.26.43.csv@1604  reward=QoE=  -75.37 eps=0.905 loss=0.9093
[ep  167] redandblack  driving_B_2019.12.16_12.27.05.csv@962   reward=QoE=   14.73 eps=0.905 loss=1.0083
[ep  168] soldier      static_B_2019.12.16_13.40.04.csv@1746  reward=QoE=   13.00 eps=0.904 loss=0.9381
[ep  169] longdress    driving_B_2020.01.16_09.56.56.csv@888   reward=QoE= -128.18 eps=0.904 loss=0.9240
[ep  170] loot         driving_B_2020.01.16_09.56.56.csv@1548  reward=QoE=   42.33 eps=0.903 loss=0.9447
[ep  171] redandblack  static_B_2020.02.27_18.39.27.csv@5198  reward=QoE=   33.40 eps=0.903 loss=0.8804
[ep  172] soldier      driving_B_2019.12.17_07.32.39.csv@1338  reward=QoE=   25.15 eps=0.902 loss=0.9682
[ep  173] longdress    static_B_2020.02.27_18.39.27.csv@878   reward=QoE=   23.22 eps=0.901 loss=0.9944
[ep  174] loot         driving_B_2019.12.16_12.27.05.csv@902   reward=QoE=    7.47 eps=0.901 loss=1.1362
[ep  175] redandblack  driving_B_2020.02.13_15.02.01.csv@1823  reward=QoE=   36.38 eps=0.900 loss=1.0134
[ep  176] soldier      static_B_2019.12.16_13.40.04.csv@726   reward=QoE=   38.94 eps=0.900 loss=0.9621
[ep  177] longdress    driving_B_2019.12.17_07.32.39.csv@1758  reward=QoE= -113.39 eps=0.899 loss=0.8860
[ep  178] loot         static_B_2020.02.27_18.39.27.csv@2978  reward=QoE=   32.41 eps=0.899 loss=1.0201
[ep  179] redandblack  driving_B_2019.12.17_07.32.39.csv@2288  reward=QoE=   32.51 eps=0.898 loss=0.9423
[ep  180] soldier      static_B_2019.12.16_13.40.04.csv@1686  reward=QoE=   24.11 eps=0.897 loss=0.9205
[ep  181] longdress    driving_B_2019.12.17_07.32.39.csv@78    reward=QoE=  -69.84 eps=0.897 loss=0.9917
[ep  182] loot         static_B_2020.02.27_18.39.27.csv@5498  reward=QoE=   36.33 eps=0.896 loss=1.0346
[ep  183] redandblack  driving_B_2020.02.13_15.02.01.csv@1463  reward=QoE=  -97.60 eps=0.896 loss=0.9510
[ep  184] soldier      driving_B_2020.02.14_12.58.17.csv@764   reward=QoE= -164.93 eps=0.895 loss=1.0916
[ep  185] longdress    driving_B_2020.02.14_09.38.22.csv@942   reward=QoE=   30.20 eps=0.895 loss=0.9051
[ep  186] loot         driving_B_2019.12.16_12.27.05.csv@362   reward=QoE= -232.90 eps=0.894 loss=0.9131
[ep  187] redandblack  driving_B_2020.02.13_13.03.24.csv@1709  reward=QoE=   36.99 eps=0.894 loss=0.9078
[ep  188] soldier      static_B_2020.02.27_18.39.27.csv@3518  reward=QoE=   13.24 eps=0.893 loss=1.0332
[ep  189] longdress    static_B_2020.02.27_18.39.27.csv@1058  reward=QoE=   29.66 eps=0.892 loss=0.9844
[ep  190] loot         driving_B_2020.02.14_09.38.22.csv@162   reward=QoE= -142.21 eps=0.892 loss=0.8324
[ep  191] redandblack  driving_B_2020.02.14_09.38.22.csv@1122  reward=QoE= -106.23 eps=0.891 loss=0.8904
[ep  192] soldier      static_B_2020.02.27_18.39.27.csv@578   reward=QoE=   -2.67 eps=0.891 loss=0.9375
[ep  193] longdress    static_B_2020.02.27_18.39.27.csv@3398  reward=QoE=   39.04 eps=0.890 loss=0.9372
[ep  194] loot         static_B_2020.02.27_18.39.27.csv@338   reward=QoE=   26.04 eps=0.890 loss=0.9064
[ep  195] redandblack  driving_B_2020.02.14_12.58.17.csv@104   reward=QoE=  -50.29 eps=0.889 loss=1.0338
[ep  196] soldier      static_B_2020.02.27_18.39.27.csv@5742  reward=QoE=   28.83 eps=0.888 loss=1.0038
[ep  197] longdress    driving_B_2020.01.16_09.56.56.csv@1128  reward=QoE=  -11.48 eps=0.888 loss=0.8181
[ep  198] loot         driving_B_2020.02.13_15.02.01.csv@2603  reward=QoE=   27.82 eps=0.887 loss=0.8354
[ep  199] redandblack  driving_B_2020.01.16_09.56.56.csv@1008  reward=QoE=   38.18 eps=0.887 loss=0.8852
[ep  200] soldier      driving_B_2020.02.13_13.03.24.csv@1769  reward=QoE=   -0.68 eps=0.886 loss=0.9086
[ep  201] longdress    driving_B_2020.02.13_15.02.01.csv@2243  reward=QoE=   14.65 eps=0.886 loss=0.7755
[ep  202] loot         driving_B_2020.01.16_12.10.03.csv@189   reward=QoE=   39.33 eps=0.885 loss=1.0872
[ep  203] redandblack  static_B_2020.02.27_18.39.27.csv@3578  reward=QoE=    9.44 eps=0.884 loss=0.8962
[ep  204] soldier      driving_B_2020.02.13_15.02.01.csv@1583  reward=QoE= -455.07 eps=0.884 loss=0.9977
[ep  205] longdress    static_B_2020.02.27_18.39.27.csv@4118  reward=QoE=   37.18 eps=0.883 loss=0.8638
[ep  206] loot         static_B_2020.02.27_18.39.27.csv@3158  reward=QoE= -354.22 eps=0.883 loss=0.9221
[ep  207] redandblack  driving_B_2020.02.13_15.02.01.csv@2723  reward=QoE=  -95.30 eps=0.882 loss=1.0655
[ep  208] soldier      driving_B_2020.02.14_09.38.22.csv@762   reward=QoE=  -42.94 eps=0.882 loss=1.0241
[ep  209] longdress    static_B_2020.02.27_18.39.27.csv@1358  reward=QoE=   30.64 eps=0.881 loss=1.1023
[ep  210] loot         driving_B_2020.01.16_07.26.43.csv@944   reward=QoE= -110.59 eps=0.880 loss=0.9727
[ep  211] redandblack  static_B_2019.12.16_13.40.04.csv@1026  reward=QoE=   41.91 eps=0.880 loss=0.9150
[ep  212] soldier      driving_B_2020.02.13_15.02.01.csv@383   reward=QoE=   44.79 eps=0.879 loss=1.0928
