episode,sequence,file,offset,reward,qoe,qoe_quality,epsilon,mean_loss
79,redandblack,driving_B_2020.02.13_15.02.01.csv,1631,-183.1779,-183.18,-183.18,0.9679,4.899651
80,soldier,static_B_2020.02.27_18.39.27.csv,1327,-0.5768,-0.58,-0.58,0.9675,4.732913
81,longdress,driving_B_2020.02.13_13.03.24.csv,1987,-174.5503,-174.55,-174.55,0.9671,4.358308
82,loot,static_B_2020.02.27_18.39.27.csv,367,34.6348,34.63,34.63,0.9667,4.393038
83,redandblack,driving_B_2020.02.13_15.02.01.csv,11,48.2319,48.23,48.23,0.9663,3.962679
84,soldier,driving_B_2020.02.13_15.02.01.csv,1811,39.6283,39.63,39.63,0.9658,4.139241
85,longdress,static_B_2020.02.27_18.39.27.csv,4567,12.6844,12.68,12.68,0.9654,4.105921
86,loot,driving_B_2020.02.14_09.38.22.csv,204,-86.8073,-86.81,-86.81,0.9650,3.684038
87,redandblack,driving_B_2020.02.13_13.03.24.csv,1507,-51.5066,-51.51,-51.51,0.9646,4.714539
88,soldier,driving_B_2020.02.14_12.58.17.csv,800,-278.8374,-278.84,-278.84,0.9642,3.509508
89,longdress,driving_B_2019.12.16_12.27.05.csv,926,-15.1631,-15.16,-15.16,0.9638,3.839674
90,loot,static_B_2020.02.27_18.39.27.csv,1387,25.1741,25.17,25.17,0.9634,3.310279
91,redandblack,driving_B_2019.12.17_07.32.39.csv,1113,42.5913,42.59,42.59,0.9630,4.279812
92,soldier,driving_B_2019.12.16_12.27.05.csv,566,-80.1934,-80.19,-80.19,0.9626,3.459711
93,longdress,static_B_2020.02.27_18.39.27.csv,2227,37.2694,37.27,37.27,0.9622,3.966595
94,loot,static_B_2020.02.27_18.39.27.csv,847,29.6653,29.67,29.67,0.9618,3.651509
95,redandblack,driving_B_2020.01.16_07.26.43.csv,34,-10.0657,-10.07,-10.07,0.9614,4.097120
96,soldier,driving_B_2020.02.13_15.02.01.csv,2591,34.0992,34.10,34.10,0.9610,3.474907
97,longdress,static_B_2020.02.27_18.39.27.csv,4927,48.5364,48.54,48.54,0.9606,4.619528
98,loot,driving_B_2020.01.16_09.56.56.csv,824,-26.2157,-26.22,-26.22,0.9602,4.554198
99,redandblack,driving_B_2020.02.13_13.03.24.csv,847,-39.8684,-39.87,-39.87,0.9597,3.833816
100,soldier,driving_B_2020.02.27_17.30.15.csv,720,-672.4595,-672.46,-672.46,0.9593,3.778297
101,longdress,driving_B_2020.01.16_12.10.03.csv,55,34.7722,34.77,34.77,0.9589,3.480375
102,loot,static_B_2020.02.27_18.39.27.csv,5047,32.8082,32.81,32.81,0.9585,4.324523
103,redandblack,driving_B_2020.02.14_09.38.22.csv,264,-114.9131,-114.91,-114.91,0.9581,3.738957
104,soldier,driving_B_2020.02.14_09.38.22.csv,1464,-14.1166,-14.12,-14.12,0.9577,3.992364
105,longdress,static_B_2019.12.16_13.40.04.csv,1501,28.8598,28.86,28.86,0.9573,4.081000
106,loot,driving_B_2020.02.14_12.58.17.csv,794,-5.8045,-5.80,-5.80,0.9569,3.448791
107,redandblack,driving_B_2019.12.17_07.32.39.csv,33,22.9969,23.00,23.00,0.9565,3.414192
108,soldier,static_B_2019.12.16_13.40.04.csv,721,40.1997,40.20,40.20,0.9561,4.085747
109,longdress,driving_B_2019.12.16_12.27.05.csv,386,-232.8374,-232.84,-232.84,0.9557,3.478912
110,loot,driving_B_2020.01.16_07.26.43.csv,874,-54.8330,-54.83,-54.83,0.9553,3.553300
111,redandblack,static_B_2019.12.16_13.40.04.csv,181,52.9433,52.94,52.94,0.9549,3.829728
112,soldier,driving_B_2019.12.16_12.27.05.csv,26,-81.6193,-81.62,-81.62,0.9545,3.428245
113,longdress,driving_B_2020.02.13_15.02.01.csv,311,36.1874,36.19,36.19,0.9540,3.321014
114,loot,driving_B_2020.02.14_09.38.22.csv,984,-12.6193,-12.62,-12.62,0.9536,3.746589
115,redandblack,static_B_2019.12.16_13.40.04.csv,481,-64.1496,-64.15,-64.15,0.9532,3.668229
116,soldier,driving_B_2020.01.16_09.56.56.csv,1184,22.3631,22.36,22.36,0.9528,3.990911
117,longdress,driving_B_2020.02.13_15.02.01.csv,251,32.6640,32.66,32.66,0.9524,3.653230
118,loot,driving_B_2020.01.16_07.26.43.csv,1770,-105.1240,-105.12,-105.12,0.9520,3.270396
119,redandblack,driving_B_2020.01.16_07.26.43.csv,1414,-68.7072,-68.71,-68.71,0.9516,4.140941
120,soldier,driving_B_2020.02.13_15.02.01.csv,2351,-362.3378,-362.34,-362.34,0.9512,3.359327
121,longdress,driving_B_2020.01.16_07.26.43.csv,1534,-75.7414,-75.74,-75.74,0.9508,4.242123
122,loot,static_B_2020.02.27_18.39.27.csv,2947,60.3431,60.34,60.34,0.9504,3.367864
123,redandblack,driving_B_2019.12.17_07.32.39.csv,333,18.4175,18.42,18.42,0.9500,3.732686
124,soldier,driving_B_2020.02.14_12.58.17.csv,374,-636.7692,-636.77,-636.77,0.9496,3.517601
125,longdress,driving_B_2020.01.16_09.56.56.csv,404,13.0748,13.07,13.07,0.9492,3.437771
126,loot,static_B_2020.02.27_18.39.27.csv,3007,61.8430,61.84,61.84,0.9488,3.665384
127,redandblack,static_B_2020.02.14_13.21.26.csv,850,25.4882,25.49,25.49,0.9484,4.210645
128,soldier,static_B_2020.02.27_18.39.27.csv,2707,31.2357,31.24,31.24,0.9479,4.720288
129,longdress,driving_B_2019.12.17_07.32.39.csv,2253,22.6019,22.60,22.60,0.9475,4.669764
130,loot,driving_B_2020.02.14_09.38.22.csv,684,45.6555,45.66,45.66,0.9471,3.940113
131,redandblack,driving_B_2020.02.13_15.02.01.csv,2651,54.8310,54.83,54.83,0.9467,5.003359
132,soldier,driving_B_2020.01.16_09.56.56.csv,1124,-1.5082,-1.51,-1.51,0.9463,3.477818
133,longdress,static_B_2020.02.27_18.39.27.csv,3727,20.2277,20.23,20.23,0.9459,3.512180
134,loot,static_B_2019.12.16_13.40.04.csv,121,45.9576,45.96,45.96,0.9455,4.250955
135,redandblack,driving_B_2020.02.13_15.02.01.csv,2291,-149.1097,-149.11,-149.11,0.9451,3.838213
136,soldier,static_B_2020.02.27_18.39.27.csv,2467,39.7887,39.79,39.79,0.9447,4.256115
137,longdress,driving_B_2020.01.16_09.56.56.csv,944,17.7193,17.72,17.72,0.9443,3.316045
138,loot,static_B_2020.02.27_18.39.27.csv,1147,19.5998,19.60,19.60,0.9439,3.681559
139,redandblack,driving_B_2020.01.16_09.56.56.csv,44,36.3022,36.30,36.30,0.9435,4.016784
140,soldier,driving_B_2019.12.16_12.27.05.csv,626,-248.6626,-248.66,-248.66,0.9431,4.533913
141,longdress,driving_B_2020.01.16_07.26.43.csv,1654,-46.7921,-46.79,-46.79,0.9427,4.716779
142,loot,static_B_2020.02.27_18.39.27.csv,2407,5.5038,5.50,5.50,0.9423,3.532135
143,redandblack,driving_B_2020.02.13_15.02.01.csv,2051,-154.4974,-154.50,-154.50,0.9418,3.436007
144,soldier,driving_B_2020.02.27_17.30.15.csv,78,-442.7315,-442.73,-442.73,0.9414,3.586723
145,longdress,driving_B_2020.01.16_07.26.43.csv,214,-29.4145,-29.41,-29.41,0.9410,3.476460
146,loot,static_B_2020.02.27_18.39.27.csv,1027,54.8093,54.81,54.81,0.9406,3.647634
147,redandblack,driving_B_2020.02.13_15.02.01.csv,2111,40.1089,40.11,40.11,0.9402,4.243514
148,soldier,driving_B_2019.12.17_07.32.39.csv,453,24.5139,24.51,24.51,0.9398,3.391286
149,longdress,driving_B_2020.01.16_09.56.56.csv,1484,37.5540,37.55,37.55,0.9394,3.732460
150,loot,driving_B_2020.01.16_12.10.03.csv,175,42.5905,42.59,42.59,0.9390,4.093729
151,redandblack,driving_B_2020.02.13_15.02.01.csv,431,35.5912,35.59,35.59,0.9386,3.680668
152,soldier,static_B_2019.12.16_13.40.04.csv,1561,59.7982,59.80,59.80,0.9382,3.651477
153,longdress,driving_B_2020.01.16_09.56.56.csv,1244,7.9055,7.91,7.91,0.9378,3.686002
154,loot,driving_B_2020.02.14_09.38.22.csv,1404,-58.5549,-58.55,-58.55,0.9374,4.885419
155,redandblack,static_B_2020.02.27_18.39.27.csv,4867,21.8664,21.87,21.87,0.9370,4.305625
156,soldier,driving_B_2020.02.14_09.38.22.csv,744,-29.2585,-29.26,-29.26,0.9366,4.664585
157,longdress,driving_B_2020.01.16_09.56.56.csv,1570,12.8591,12.86,12.86,0.9362,3.984137
158,loot,static_B_2019.12.16_13.40.04.csv,61,47.4380,47.44,47.44,0.9357,3.873503
159,redandblack,driving_B_2020.01.16_09.56.56.csv,1364,42.7971,42.80,42.80,0.9353,4.287268
160,soldier,driving_B_2020.01.16_07.26.43.csv,694,-25.2361,-25.24,-25.24,0.9349,4.254310
161,longdress,driving_B_2019.12.17_07.32.39.csv,1473,-28.4597,-28.46,-28.46,0.9345,4.077108
162,loot,driving_B_2020.01.16_12.10.03.csv,115,21.7265,21.73,21.73,0.9341,4.344369
163,redandblack,driving_B_2020.02.14_09.38.22.csv,384,-118.9809,-118.98,-118.98,0.9337,4.001483
164,soldier,driving_B_2020.02.13_15.02.01.csv,1991,8.6529,8.65,8.65,0.9333,4.226991
165,longdress,static_B_2019.12.16_13.40.04.csv,1261,-4.9724,-4.97,-4.97,0.9329,4.087819
166,loot,driving_B_2020.02.27_17.30.15.csv,258,-299.9453,-299.95,-299.95,0.9325,3.951230
167,redandblack,driving_B_2020.01.16_07.26.43.csv,934,-65.4550,-65.45,-65.45,0.9321,4.386688
168,soldier,static_B_2019.12.16_13.40.04.csv,781,20.3368,20.34,20.34,0.9317,3.750958
169,longdress,driving_B_2020.01.16_07.26.43.csv,574,-101.5465,-101.55,-101.55,0.9313,3.461836
170,loot,driving_B_2020.02.13_13.03.24.csv,1327,-72.7073,-72.71,-72.71,0.9309,4.664343
171,redandblack,driving_B_2020.01.16_07.26.43.csv,154,-212.6663,-212.67,-212.67,0.9305,4.091355
172,soldier,driving_B_2020.01.16_09.56.56.csv,164,26.9194,26.92,26.92,0.9300,3.514912
173,longdress,static_B_2020.02.27_18.39.27.csv,3427,60.5391,60.54,60.54,0.9296,4.188062
174,loot,driving_B_2020.01.16_07.26.43.csv,514,-42.9251,-42.93,-42.93,0.9292,3.640138
175,redandblack,driving_B_2020.01.16_09.56.56.csv,1004,51.6061,51.61,51.61,0.9288,3.807804
176,soldier,driving_B_2020.02.14_09.38.22.csv,924,29.1064,29.11,29.11,0.9284,3.550559
177,longdress,static_B_2020.02.27_18.39.27.csv,4807,42.3925,42.39,42.39,0.9280,4.425024
178,loot,static_B_2020.02.14_13.21.26.csv,134,46.5068,46.51,46.51,0.9276,4.184971
179,redandblack,driving_B_2019.12.17_07.32.39.csv,1413,14.5336,14.53,14.53,0.9272,4.648053
180,soldier,static_B_2020.02.27_18.39.27.csv,5527,39.3384,39.34,39.34,0.9268,3.812226
181,longdress,driving_B_2020.02.14_09.38.22.csv,144,-319.8053,-319.81,-319.81,0.9264,3.685844
182,loot,driving_B_2020.02.13_15.02.01.csv,1271,29.0635,29.06,29.06,0.9260,4.181215
183,redandblack,static_B_2020.02.27_18.39.27.csv,3667,40.8297,40.83,40.83,0.9256,3.881238
184,soldier,driving_B_2019.12.17_07.32.39.csv,513,-123.3893,-123.39,-123.39,0.9252,3.659757
185,longdress,driving_B_2019.12.17_07.32.39.csv,1893,14.5104,14.51,14.51,0.9248,3.466047
186,loot,driving_B_2019.12.16_12.27.05.csv,506,-196.4426,-196.44,-196.44,0.9244,3.724205
187,redandblack,driving_B_2020.02.13_15.02.01.csv,2754,-88.5935,-88.59,-88.59,0.9239,3.699904
188,soldier,static_B_2020.02.27_18.39.27.csv,3967,31.4303,31.43,31.43,0.9235,3.860736
189,longdress,driving_B_2020.02.13_13.03.24.csv,1927,-280.5917,-280.59,-280.59,0.9231,3.798465
190,loot,driving_B_2020.02.13_15.02.01.csv,131,55.0137,55.01,55.01,0.9227,3.601882
191,redandblack,static_B_2020.02.27_18.39.27.csv,4507,47.7146,47.71,47.71,0.9223,3.573968
