[ep   89] longdress    driving_B_2020.02.14_09.38.22.csv@1478  reward=QoE=  -88.37 eps=0.903 loss=2.5504
[ep   90] loot         driving_B_2020.02.14_09.38.22.csv@642   reward=QoE=   22.62 eps=0.902 loss=2.8545
[ep   91] redandblack  static_B_2020.02.27_18.39.27.csv@98    reward=QoE=   26.27 eps=0.901 loss=2.4404
[ep   92] soldier      static_B_2020.02.27_18.39.27.csv@1478  reward=QoE=   20.97 eps=0.900 loss=2.5841
[ep   93] longdress    driving_B_2020.02.13_13.03.24.csv@1889  reward=QoE= -476.81 eps=0.899 loss=2.5156
[ep   94] loot         driving_B_2020.02.14_09.38.22.csv@1062  reward=QoE=    8.10 eps=0.898 loss=2.3593
[ep   95] redandblack  driving_B_2020.02.13_13.03.24.csv@1289  reward=QoE=  -92.00 eps=0.897 loss=2.8663
[ep   96] soldier      driving_B_2020.01.16_07.26.43.csv@644   reward=QoE=  -77.76 eps=0.896 loss=2.5110
[ep   97] longdress    static_B_2020.02.27_18.39.27.csv@1838  reward=QoE=  -21.54 eps=0.895 loss=2.4510
[ep   98] loot         driving_B_2020.02.14_12.58.17.csv@404   reward=QoE= -330.52 eps=0.894 loss=2.3729
[ep   99] redandblack  driving_B_2019.12.17_07.32.39.csv@2118  reward=QoE=   27.22 eps=0.893 loss=2.4241
[ep  100] soldier      static_B_2020.02.14_13.21.26.csv@89    reward=QoE=   30.57 eps=0.892 loss=2.6876
[ep  101] longdress    driving_B_2020.02.13_13.03.24.csv@209   reward=QoE= -113.57 eps=0.890 loss=2.4138
[ep  102] loot         static_B_2020.02.27_18.39.27.csv@1958  reward=QoE=   41.48 eps=0.889 loss=2.3544
[ep  103] redandblack  driving_B_2020.02.27_17.30.15.csv@720   reward=QoE= -243.11 eps=0.888 loss=3.0006
[ep  104] soldier      driving_B_2020.02.13_13.03.24.csv@269   reward=QoE=  -50.09 eps=0.887 loss=3.1427
[ep  105] longdress    driving_B_2020.01.16_07.26.43.csv@1664  reward=QoE= -152.63 eps=0.886 loss=2.4268
[ep  106] loot         driving_B_2020.02.14_09.38.22.csv@42    reward=QoE=  -35.03 eps=0.885 loss=2.3180
[ep  107] redandblack  static_B_2020.02.27_18.39.27.csv@218   reward=QoE=   21.79 eps=0.884 loss=2.9189
[ep  108] soldier      static_B_2020.02.27_18.39.27.csv@4298  reward=QoE=   37.94 eps=0.883 loss=2.7520
[ep  109] longdress    static_B_2020.02.14_13.21.26.csv@29    reward=QoE=    2.47 eps=0.882 loss=2.5588
[ep  110] loot         driving_B_2020.02.14_12.58.17.csv@584   reward=QoE=  -32.56 eps=0.881 loss=2.5824
[ep  111] redandblack  static_B_2020.02.14_13.21.26.csv@850   reward=QoE=   32.32 eps=0.880 loss=2.3668
[ep  112] soldier      driving_B_2020.02.13_13.03.24.csv@509   reward=QoE=  -84.33 eps=0.879 loss=2.4132
[ep  113] longdress    static_B_2020.02.27_18.39.27.csv@4358  reward=QoE=   40.28 eps=0.877 loss=2.8630
