# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260710_083943_full\sweep\trial_019_s42\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260710_083943_full\sweep\trial_019_s42 --coverage-stride 60 --epochs 8 --eval-every 100 --lam 1.0 --lr 0.0001 --mu 4.3 --no-lstm-pred --reward-spec {"stall_mode": "bounded", "stall_cap_s": 2.0, "event_penalty": 2.0} --seed 42 --select-by qoe_quality --target-update 3000
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | eval sequence: longdress
   train files: 4 | test files: 1 | frames/episode: 300
   coverage stride: 60 samples -> 199 episodes/epoch x 8 epochs = 1592 episodes (~477600 env steps)
   state_dim: 22 | actions: 6 | feature_spec: ['buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   reward: q[log_density] - 4.3*min(stall,2.0) + 2.0*new_event - 1.0*|dq|  (gamma=0.99, lr=0.0001, reward_norm=True, reward_scale=1.0)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260710_083943_full\sweep\trial_019_s42\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260710_083943_full\sweep\trial_019_s42
==========================================================================================
[eval @ ep 0] untrained: reward=128.90 qoe=0.0 qoe_q=-31.0
[ep  112] soldier      static_B_2020.02.27_18.39.27.csv@168   reward=    4.64 qoe=   0.0 qoe_q= -100.7 eps=0.889 loss=0.2219
[ep  113] longdress    static_B_2020.02.13_13.57.29.csv@2358  reward=  -91.35 qoe=   0.0 qoe_q= -158.8 eps=0.888 loss=0.2213
[ep  114] loot         static_B_2020.02.27_18.39.27.csv@4008  reward=  -29.01 qoe=   0.0 qoe_q= -112.8 eps=0.887 loss=0.2228
[ep  115] redandblack  static_B_2020.02.14_13.21.26.csv@524   reward=  -16.25 qoe=   0.0 qoe_q= -104.9 eps=0.886 loss=0.2219
[ep  116] soldier      static_B_2020.02.14_13.21.26.csv@44    reward=    6.15 qoe=   0.0 qoe_q=  -85.4 eps=0.885 loss=0.2197
[ep  117] longdress    static_B_2020.02.27_18.39.27.csv@1668  reward=  -28.70 qoe=   0.0 qoe_q= -111.9 eps=0.884 loss=0.2301
[ep  118] loot         static_B_2019.12.16_13.40.04.csv@662   reward=   -4.17 qoe=   0.4 qoe_q=  -93.2 eps=0.883 loss=0.2269
[ep  119] redandblack  static_B_2020.02.13_13.57.29.csv@2898  reward=  -30.15 qoe=   0.0 qoe_q= -168.3 eps=0.882 loss=0.2226
[ep  120] soldier      static_B_2020.02.27_18.39.27.csv@3648  reward=  -37.97 qoe=   0.0 qoe_q= -160.7 eps=0.881 loss=0.2150
[ep  121] longdress    static_B_2020.02.27_18.39.27.csv@4728  reward=   -7.65 qoe=   0.0 qoe_q= -118.8 eps=0.880 loss=0.2282
[ep  122] loot         static_B_2020.02.27_18.39.27.csv@5388  reward=  -24.13 qoe=   0.0 qoe_q= -103.5 eps=0.879 loss=0.2305
[ep  123] redandblack  static_B_2020.02.27_18.39.27.csv@4068  reward=   12.65 qoe=   0.0 qoe_q=  -80.0 eps=0.878 loss=0.2327
[ep  124] soldier      static_B_2020.02.13_13.57.29.csv@2598  reward=  -16.52 qoe=   0.0 qoe_q= -116.9 eps=0.877 loss=0.2309
[ep  125] longdress    static_B_2020.02.13_13.57.29.csv@1158  reward=  -60.77 qoe=   0.0 qoe_q= -129.8 eps=0.876 loss=0.2252
[ep  126] loot         static_B_2020.02.27_18.39.27.csv@1368  reward=   -8.53 qoe=   0.0 qoe_q= -113.9 eps=0.875 loss=0.2215
[ep  127] redandblack  static_B_2020.02.13_13.57.29.csv@1578  reward=   14.54 qoe=   0.0 qoe_q=  -79.4 eps=0.874 loss=0.2299
[ep  128] soldier      static_B_2019.12.16_13.40.04.csv@602   reward=  -79.71 qoe=   0.0 qoe_q= -189.2 eps=0.873 loss=0.2323
[ep  129] longdress    static_B_2020.02.27_18.39.27.csv@4848  reward=   -4.05 qoe=   0.0 qoe_q= -108.1 eps=0.872 loss=0.2343
[ep  130] loot         static_B_2020.02.14_13.21.26.csv@464   reward=    6.09 qoe=   0.0 qoe_q=  -85.6 eps=0.871 loss=0.2319
[ep  131] redandblack  static_B_2020.02.27_18.39.27.csv@4188  reward=  -63.33 qoe=   0.0 qoe_q= -219.4 eps=0.870 loss=0.2500
[ep  132] soldier      static_B_2020.02.13_13.57.29.csv@2538  reward=  -29.52 qoe=   0.0 qoe_q= -157.9 eps=0.869 loss=0.2382
[ep  133] longdress    static_B_2019.12.16_13.40.04.csv@1742  reward=    6.05 qoe=   0.0 qoe_q= -150.7 eps=0.868 loss=0.2402
[ep  134] loot         static_B_2019.12.16_13.40.04.csv@1082  reward= -195.53 qoe=   0.0 qoe_q= -644.8 eps=0.867 loss=0.2306
[ep  135] redandblack  static_B_2020.02.27_18.39.27.csv@3408  reward=   16.50 qoe=   0.0 qoe_q=  -82.0 eps=0.866 loss=0.2363
[ep  136] soldier      static_B_2020.02.27_18.39.27.csv@5742  reward=  -38.99 qoe=   0.0 qoe_q= -165.1 eps=0.865 loss=0.2468
[ep  137] longdress    static_B_2020.02.13_13.57.29.csv@2058  reward=    2.16 qoe=   0.0 qoe_q=  -92.2 eps=0.864 loss=0.2320
[ep  138] loot         static_B_2020.02.27_18.39.27.csv@3588  reward=  -16.65 qoe=   0.0 qoe_q= -111.6 eps=0.863 loss=0.2433
[ep  139] redandblack  static_B_2020.02.13_13.57.29.csv@2838  reward=  -63.23 qoe=   0.0 qoe_q= -155.7 eps=0.862 loss=0.2339
