episode,sequence,file,offset,reward,qoe,qoe_quality,epsilon,mean_loss
140,soldier,driving_B_2019.12.16_12.27.05.csv,626,-303.8417,-303.84,-303.84,0.8228,0.983764
141,longdress,driving_B_2020.01.16_07.26.43.csv,1654,-86.5414,-86.54,-86.54,0.8216,0.956221
142,loot,static_B_2020.02.27_18.39.27.csv,2407,1.3468,1.35,1.35,0.8203,1.108491
143,redandblack,driving_B_2020.02.13_15.02.01.csv,2051,-171.4324,-171.43,-171.43,0.8190,0.981540
144,soldier,driving_B_2020.02.27_17.30.15.csv,78,-483.9856,-483.99,-483.99,0.8178,1.112059
145,longdress,driving_B_2020.01.16_07.26.43.csv,214,-63.3705,-63.37,-63.37,0.8165,1.119063
146,loot,static_B_2020.02.27_18.39.27.csv,1027,26.8455,26.85,26.85,0.8152,0.970368
147,redandblack,driving_B_2020.02.13_15.02.01.csv,2111,22.0615,22.06,22.06,0.8140,1.109195
148,soldier,driving_B_2019.12.17_07.32.39.csv,453,29.2027,29.20,29.20,0.8127,0.914651
149,longdress,driving_B_2020.01.16_09.56.56.csv,1484,40.8068,40.81,40.81,0.8114,0.846368
150,loot,driving_B_2020.01.16_12.10.03.csv,175,32.2010,32.20,32.20,0.8102,0.950563
151,redandblack,driving_B_2020.02.13_15.02.01.csv,431,50.6724,50.67,50.67,0.8089,1.050482
152,soldier,static_B_2019.12.16_13.40.04.csv,1561,31.5632,31.56,31.56,0.8076,1.101483
153,longdress,driving_B_2020.01.16_09.56.56.csv,1244,-14.6572,-14.66,-14.66,0.8064,1.126426
154,loot,driving_B_2020.02.14_09.38.22.csv,1404,-60.5957,-60.60,-60.60,0.8051,1.165914
155,redandblack,static_B_2020.02.27_18.39.27.csv,4867,17.5455,17.55,17.55,0.8038,0.954919
156,soldier,driving_B_2020.02.14_09.38.22.csv,744,-57.1065,-57.11,-57.11,0.8026,1.069090
157,longdress,driving_B_2020.01.16_09.56.56.csv,1570,-15.1102,-15.11,-15.11,0.8013,1.088278
158,loot,static_B_2019.12.16_13.40.04.csv,61,41.7368,41.74,41.74,0.8000,1.124241
