episode,sequence,file,offset,reward,qoe,qoe_quality,epsilon,mean_loss
417,longdress,static_B_2020.02.27_18.39.27.csv,379,174.7382,64.11,35.59,0.6518,0.487361
418,loot,static_B_2020.02.13_13.57.29.csv,2451,154.4718,0.00,-242.27,0.6509,0.465180
419,redandblack,static_B_2020.01.16_10.43.34.csv,1592,200.8360,73.54,51.21,0.6501,0.430459
420,soldier,static_B_2020.02.27_18.39.27.csv,5119,214.4748,88.00,64.80,0.6493,0.465615
421,longdress,static_B_2020.02.13_13.57.29.csv,2391,215.8457,83.60,56.71,0.6484,0.462317
422,loot,static_B_2020.01.16_10.43.34.csv,3109,210.5547,74.00,61.11,0.6476,0.398932
423,redandblack,static_B_2020.02.27_18.39.27.csv,3439,215.8417,100.00,64.83,0.6468,0.484320
424,soldier,static_B_2020.01.16_10.43.34.csv,572,168.8006,49.07,30.54,0.6459,0.443803
425,longdress,static_B_2019.12.16_13.40.04.csv,1866,153.4066,0.00,-257.19,0.6451,0.428156
426,loot,static_B_2020.01.16_10.43.34.csv,2612,217.5052,52.00,64.49,0.6443,0.463910
427,redandblack,static_B_2019.12.16_13.40.04.csv,1566,185.4881,4.00,52.11,0.6434,0.453090
428,soldier,static_B_2020.01.16_10.43.34.csv,2492,215.5165,70.00,64.10,0.6426,0.431441
429,longdress,static_B_2020.02.27_18.39.27.csv,5659,213.8913,100.00,63.23,0.6418,0.467379
430,loot,static_B_2020.02.27_18.39.27.csv,1099,190.9979,66.38,53.05,0.6409,0.384556
431,redandblack,static_B_2020.02.27_18.39.27.csv,3979,208.1083,74.22,54.67,0.6401,0.387974
432,soldier,static_B_2020.02.13_13.57.29.csv,2751,88.0580,0.00,-10.78,0.6393,0.403154
433,longdress,static_B_2020.02.13_13.57.29.csv,1791,214.4634,18.00,64.05,0.6384,0.444569
434,loot,static_B_2020.02.13_13.57.29.csv,1251,156.0506,7.45,28.38,0.6376,0.373266
435,redandblack,static_B_2019.12.16_13.40.04.csv,426,158.5987,0.00,5.82,0.6368,0.510674
436,soldier,static_B_2019.12.16_13.40.04.csv,6,202.0688,74.76,52.03,0.6359,0.487558
437,longdress,static_B_2020.02.13_13.57.29.csv,2091,209.3614,68.00,61.08,0.6351,0.469739
438,loot,static_B_2020.02.27_18.39.27.csv,559,222.4771,16.00,65.13,0.6342,0.412961
439,redandblack,static_B_2020.01.16_10.43.34.csv,332,205.5065,26.00,59.59,0.6334,0.429738
440,soldier,static_B_2020.02.27_18.39.27.csv,4819,230.4542,100.00,70.15,0.6326,0.401443
441,longdress,static_B_2020.02.27_18.39.27.csv,1999,189.3559,94.00,53.19,0.6317,0.471552
442,loot,static_B_2020.01.16_10.43.34.csv,2852,225.4092,100.00,66.73,0.6309,0.462997
443,redandblack,static_B_2020.02.13_13.57.29.csv,1491,159.4001,46.52,31.81,0.6301,0.392383
444,soldier,static_B_2020.02.27_18.39.27.csv,3559,69.7380,0.00,-37.00,0.6292,0.435196
445,longdress,static_B_2020.02.13_13.57.29.csv,1551,173.2934,64.46,45.25,0.6284,0.419652
446,loot,static_B_2020.01.16_10.43.34.csv,2552,227.9468,30.00,68.16,0.6276,0.410227
447,redandblack,static_B_2020.02.27_18.39.27.csv,1819,188.5196,0.00,0.63,0.6267,0.460293
448,soldier,static_B_2020.02.13_13.57.29.csv,1911,204.7690,71.37,51.53,0.6259,0.427715
449,longdress,static_B_2020.02.27_18.39.27.csv,4459,108.7487,0.00,-19.51,0.6251,0.472558
450,loot,static_B_2020.01.16_10.43.34.csv,2432,218.3429,42.89,32.38,0.6242,0.452354
451,redandblack,static_B_2020.01.16_10.43.34.csv,1172,159.8731,44.74,33.41,0.6234,0.490396
452,soldier,static_B_2020.01.16_10.43.34.csv,1892,217.6840,42.00,64.53,0.6226,0.442505
453,longdress,static_B_2020.01.16_10.43.34.csv,2072,125.3273,7.18,13.42,0.6217,0.485418
454,loot,static_B_2020.02.27_18.39.27.csv,4039,192.9524,85.02,55.41,0.6209,0.450416
455,redandblack,static_B_2020.02.27_18.39.27.csv,1399,231.5525,54.00,69.80,0.6200,0.436941
456,soldier,static_B_2020.02.13_13.57.29.csv,771,143.0700,6.87,14.34,0.6192,0.462393
457,longdress,static_B_2019.12.16_13.40.04.csv,846,207.1254,100.00,57.32,0.6184,0.450787
458,loot,static_B_2020.02.27_18.39.27.csv,619,235.6984,32.00,72.11,0.6175,0.458069
459,redandblack,static_B_2020.02.13_13.57.29.csv,111,152.3519,0.00,-18.59,0.6167,0.419803
460,soldier,static_B_2019.12.16_13.40.04.csv,726,219.5983,32.00,66.13,0.6159,0.499476
461,longdress,static_B_2020.02.27_18.39.27.csv,5599,199.9762,18.19,17.28,0.6150,0.533068
462,loot,static_B_2020.02.13_13.57.29.csv,1311,128.5549,0.00,-6.73,0.6142,0.544136
463,redandblack,static_B_2020.02.27_18.39.27.csv,3079,125.5791,0.00,-4.12,0.6134,0.433356
464,soldier,static_B_2020.02.27_18.39.27.csv,1219,235.5069,100.00,70.78,0.6125,0.482294
